bank_name,year,interest_rate
Agribank,2024,0.047
Agribank,2025,0.047
Agribank,2026,0.052
ACB,2024,0.049
ACB,2025,0.053
ACB,2026,0.056
BIDV,2024,0.047
BIDV,2025,0.047
BIDV,2026,0.05
HDBank,2024,0.056
HDBank,2025,0.059
HDBank,2026,0.06
MB,2024,0.048
MB,2025,0.058
MB,2026,0.061
Sacombank,2024,0.054
Sacombank,2025,0.056
Sacombank,2026,0.058
Techcombank,2024,0.047
Techcombank,2025,0.051
Techcombank,2026,0.054
TPBank,2024,0.052
TPBank,2025,0.053
TPBank,2026,0.058
Vietcombank,2024,0.046
Vietcombank,2025,0.046
Vietcombank,2026,0.048
VPBank,2024,0.052
VPBank,2025,0.056
VPBank,2026,0.059
